Tweet,Username,Datetime,Sentiment
tim u20 israel beringas kasihan,tipsdisini,2023-04-17 06:47:05+00:00,0.0
kalo u20 bal tolak krn ada israel napa anoc wbg ada kontingen israelnya izin boss yaqin kontingen pst pake atribut negara mrk banteng merah koplak,Dyananjani89,2023-04-17 06:35:12+00:00,0.0
pakar komunikasi politik tuduh fifa batal u20 indonesia akibat tolak tim israel gub akibat fifa paham sistem negara federal so what parah jk paham republik ada bijak gubernur dg presiden,TheArieAir,2023-04-17 06:14:41+00:00,0.2878
mikir untung ga pildun u20 malu indonesia klo hara huru stadion ada israel,DeniSupriyadi06,2023-04-17 05:51:33+00:00,0.0
kualitas tu main piala dunia u20 gak lebaylah kontitusi larang israel faktor lai sadar pitah merah pakai simbol 5tahun bis,ampasta05480479,2023-04-17 05:12:04+00:00,0.0
gmnke israel perangapa untungnyyahudi salib yesus dukung israelyahudi kl tindakanny baikkl ngga biar tuhan blsjgn sampe dukung babi buta tp korban org2 negara pny mimpispt u20 kmrn,funnyredsheets,2023-04-17 02:36:58+00:00,0.0
putus pdip gp tolak pildun u20 manusia2 negri manusia terima kalah israel korban bisa2 kena rudal uud negara meyerang rakyat negara serang,Roykarokaro2,2023-04-17 02:11:06+00:00,0.0
bukti klu gagal pildun u20 bkn krn tolak israel krn perintah pssi tdk politis,joyo_kacer,2023-04-16 23:49:50+00:00,0.0
bayang kalo tim u20 kalah ama israel,AndiChTh,2023-04-16 22:29:54+00:00,0.0
yahya amp yakut brothers neh blm ajar toleransi nih israel kemarin bola u20 dukung israel,Pecel_Lele5678,2023-04-16 17:52:12+00:00,0.0
israel mrk tampil pildun u20 mrk boikot dalih jgn campur sepakbola politik goblokkk,1febri,2023-04-16 17:30:12+00:00,0.0
piala dunia u20 gagal gelar bela palestina tolak israel wni korban laku bela kemerdekaanya bengong,DulqoidahKomari,2023-04-16 15:45:01+00:00,0.0
erickthohirnews media israel puji fifa pasca coret indonesia tuan rumah piala dunia u20 bangkitbersamaet,ET_Monitor,2023-04-16 15:23:02+00:00,0.0
tolak u20 tim israel alas moga allah jaga bangsa,DarjoGuh,2023-04-16 15:17:49+00:00,-0.2732
pasang badan larang israel main u20 gak ada pasang badan urusin jalan kayak kubang,not2believe,2023-04-16 12:01:21+00:00,0.0
fifa batal u20 tonton norak kalo israel vs indonesia tim u20 kalah tonton norak islam radikal turun lapang reak takbir serang tim israel ampuun deh,kang_cipoi,2023-04-16 11:56:50+00:00,0.0
batal piala dunia u20 israel tp mmg ketidaksiapan panitia tolak israel drama dr pdip,riyutoooo,2023-04-16 10:41:17+00:00,0.0
gubbali dukung awbg ada atlet israelkrn penontonpenggemar olga tsb tdk antusiaslain dgn sepak bola tonton membludak krn pildun u20 adakan indonesiajadi timbang aman,Budionotaslim3,2023-04-16 09:45:09+00:00,0.0
bina supporter pssi tak aksi tolak israel kambing hitam gagal tuan rumah pildun u20,PoetraNKRI45,2023-04-16 09:21:13+00:00,0.2732
memanknai turun elektabilitas gp turun akibat tolak timnas u20 israel survey hal ragu survey kelompok survey korespondenya itu2,mulatt3,2023-04-16 02:04:17+00:00,0.0
tolak israel piala dunia u20 koster dukung laksana anoc world beach games 2023 bal,Jabar24Jam,2023-04-16 01:18:14+00:00,0.0
prediksi sy bhw tolak tim israel dlm piala dunia u20 tdk dampak signifikan thdp turun elektabilitas ganjarterbukti benarsurvei smrc temu ganjar urut dgn 268prabowo 254 amp anies 167,RustamIbrahim,2023-04-15 23:45:13+00:00,0.0
hrs sindir u20 tdk ada lapor kasardibandimg tokoh lampung ttp u20 posisi indo ln israel tdk ada ganggu dagang id vs israel,YudiTriyana5,2023-04-15 21:25:33+00:00,0.0
pikir pikir nolak tim israel u20 israelnya main u20 tim indonesia gagal main u20 wes pikir,TheArieAir,2023-04-15 17:55:01+00:00,0.0
mngingat pnangkapan warga uzbek densus 88 scara langsung tdk langsung tolak ganjar thdp timnas israel mnghindari indonesia dr kmungkinan tunggang teroris dlm event pildun u20 no debat,Ade1103,2023-04-15 17:48:04+00:00,-0.296
kayak klo bungkam tolak u20 israel inggris euro singapura aostrali ada amrik amrik cs ada yahudi,AsliLucuBanget,2023-04-15 14:02:48+00:00,0.0
kayak nyambung sikap bungkam tolak u20 israel make selendang pelestina,AsliLucuBanget,2023-04-15 13:50:24+00:00,0.0
hahahaha gubernur mati sepak bola indonesia piala dunia u20 larang atlet team nasional israel event olahraga mengijinkan atlet negara israel,IwanDar72454463,2023-04-15 12:51:18+00:00,0.0
gilir olahraga soccer u20 nolak klu atlet israel maen main,jinpinksi,2023-04-15 11:16:41+00:00,0.0
main sepak bola u20 israel we are like judges bringing death which is so scary but becomes a downturn aaahhkkjalan kaki jogja jakarta deh,tengkorak_maut,2023-04-15 09:59:45+00:00,-0.5037
fix tolak timnas israel pildun u20 dasar politikmenjalankan amanahkonstitusi proklamator alibiapalagi tgl 1 juni gbk dipake party ama golong merah,Yakubessa1,2023-04-15 09:50:18+00:00,0.4019
percaya gagal u20 gara2 gubernur nolak israel wkwkw qatar jelas2 nolak lgbt fifa nurut indonesia blom gapunya power apa2 nawar tu kader partai blunder wkwkwk,RezyFR,2023-04-15 08:42:33+00:00,0.0
koster konsisten tolak israel pd u20 ora opo2 israel world beach gamespreeet,aisya93518677,2023-04-15 08:35:50+00:00,0.0
elektabilitas partai turun tolak hadir israel piala dunia u20 buru buru ralat bijak nyat parpol golong negara,bukan_pandawa,2023-04-15 07:40:05+00:00,0.0
malu kantor berita nasional indonesia cermat dlm berita provokasi rakyat ri utk musuh bangsa tak heran ri dibatalin jd tuan rumah pd u20 fifa krn tolak timnas u20 israel lolos kualifikasi,fransiskusjurin,2023-04-15 07:05:20+00:00,0.0
kemarin tum partai warna merah bilang gbk pakai acara raka kader gubernur tolak piala dunia u20 isu israel,ppffrttrt,2023-04-15 06:48:32+00:00,0.0
maha banteng congor piala dunia u20 tolak timnas israel krn lawan konstitusi world beach bal gapapa krn sesuai konstirusi banteng alas konstitusi alas krn jokowi siiih,Asbit_0880,2023-04-15 06:46:30+00:00,-0.4939
ayo ganjar tim israel world beach games bal jaga konstitusi berani tunggu perintah mbok presiden jgn berani jegal pd u20,bwinarso99,2023-04-15 06:16:49+00:00,0.0
tunggu kabar ormas2 partai munafik kemarin koar2 nolak israel u20,0pp4_lee,2023-04-15 05:58:35+00:00,0.0
percaya batal pildun tolak israel kalo ada kibar bndera lagu israel pildun u20 batal gagal transformasi kanjuruhan,ronin4711,2023-04-15 04:15:07+00:00,0.0
wayan koster menclamenclekenapa gak terima israel tanding piala duia u20 indonesia huuura mutu babar blaassss,yana_udiyatna,2023-04-15 03:36:24+00:00,0.0
