Tweet,Username,Datetime
"@Narasi_winda Wah... ternyata bukan tim U20 israel yang beringas... 

Kasihan sekali",tipsdisini,2023-04-17 06:47:05+00:00
"@TheArieAir Kalo U20 di Bali DITOLAK krn ada Israel.

Napa ANOC WBG ada Kontingen Israelnya di Izinkan Boss??

Yaqin para Kontingen itu pst akan pake Atribut Kenegaraan mrk.

BANTENG MERAH KOPLAK 😑🖕 https://t.co/Q2xEvjgsaL",Dyananjani89,2023-04-17 06:35:12+00:00
"Seorang pakar komunikasi politik menuduh FIFA membatalkan U20 Indonesia akibat penolakan tim Israel oleh dua gub
itu akibat FIFA tidak paham jika sistem negara kita bukan FEDERAL
so what?

ya tambah parah jk paham republik namun ada pertentangan kebijakan Gubernur dg Presiden",TheArieAir,2023-04-17 06:14:41+00:00
"@S4N_W1B1 Malah mikir, untung ga jadi PilDun U20, bisa MALU Indonesia klo terjadi hara huru di stadion yg ada Israel 😒",DeniSupriyadi06,2023-04-17 05:51:33+00:00
@PSSI Apaan sih macam iya kali secara kualitas kalian tu belum pantas untuk main di piala dunia u20 gak usah lebaylah kontitusi kita jelas melarangnya (kedatangan Israel )dan banyak faktor lainya sadar diri aja lah seharusnya pitah merah yang harus di pakai simbol 5tahun lagi pasti bis,ampasta05480479,2023-04-17 05:12:04+00:00
"@Newcominghome @KompasTV Terus harus gmn?Ke israel perang?apa untungny?Yahudi aja menyalibkan Yesus https://t.co/kbhdmD1D1T dukung Israel/Yahudi kl tindakanny baik,kl ngga biar Tuhan yg bls.Jgn sampe dukung membabi buta tp mengorbankan org2 di negara ini yg pny mimpi,spt U20 kmrn",funnyredsheets,2023-04-17 02:36:58+00:00
"@BungkusTukang Keputusan PDIP dan GP sudah sangat tepat dengan menolak pildun u20.

Karena manusia2 di negri ini belum sepenuhnya manusia dalam menerima kekalahan..

Kalau sempat israel jadi korban bisa2 kita kena rudal.
Karena uud negara mereka meyerang rakyat sama dengan negaranya diserang.",Roykarokaro2,2023-04-17 02:11:06+00:00
"@alisyarief Makin membuktikan klu gagalnya pildun u20 itu bkn krn ""penolakan israel"" tapi krn pemerintah / pssi aja yg tdk siap dan politis.",joyo_kacer,2023-04-16 23:49:50+00:00
@S4N_W1B1 kebayang kalo pas tim u20 kalah ama israel,AndiChTh,2023-04-16 22:29:54+00:00
"Yahya &amp; Yakut Brothers kemana neh, blm diajarkan Toleransi apa nih Israel ini. 

Yg kemarin bola U20 dukung Israel kemana ?",Pecel_Lele5678,2023-04-16 17:52:12+00:00
"Ini ISRAEL, masih mau mrk tampil di PilDun U20 ?
Harusnya mrk diboikot bukan berdalih jgn campur sepakbola dengan politik, goblokkk!",1febri,2023-04-16 17:30:12+00:00
