Tweets,Date
@thehihurimengs BAJINGAN,2023-04-11 20:00:26+00:00
WESSSS BAJINGAN TENAN https://t.co/xG85beCb76,2023-04-11 19:57:46+00:00
"@Arti_SebuahRasa @kegblgnunfaedh gue mending sm anime sih drpd dapet cowok yg lo sebutin semua itu.

kalo bisa dapetin yg gk bajingan, gk tukang selingkuh, gk maling, gk kasar dan GAK NGEROKOK. ya why not.

kalo gk dapet ya mending single aja atau halu animek 👍🙃",2023-04-11 19:57:18+00:00
"ni si bajingan balik lagi ngechat gue anjay, maunya apaan si bang",2023-04-11 19:51:49+00:00
bajingan internet ngelag,2023-04-11 19:47:50+00:00
bajingan asu aku stress bangsat,2023-04-11 19:45:48+00:00
"@nitatat kata nadin amizah, hidup berjalan seperti bajingan
jadi kudu tetep semangat mbak e,",2023-04-11 19:43:35+00:00
memforsir tenaga adalah kesalahan alias bajingan kesel tenan dancokkkk,2023-04-11 19:38:55+00:00
"don't judge a book by its cover 
Kenalan we durung wes wedi ancen angel rai"" bajingan ngeneki 😂😂😂 https://t.co/Bf0ZFbrGTy",2023-04-11 19:37:48+00:00
"@whensaid___ Pernah bertarung di jalur langit. Pas. Sing bajingan minggat ga balik, sing tulus baik nan royal akhirnya datang.",2023-04-11 19:31:52+00:00
"@Restty_cayah Manusia setan bajingan asu   si Resti cayah ini yah ,,, bajingan kamu ,,,",2023-04-11 19:28:24+00:00
"Bajingan ini imigran...bangsat mereka...
Hukum mati saja mereka....",2023-04-11 19:27:09+00:00
Bajingan emg hari ini,2023-04-11 19:26:42+00:00
emang lo semua demen cari ribut bajingan bajingan,2023-04-11 19:18:57+00:00
Ah laki bajingan.,2023-04-11 19:17:36+00:00
Bajingan grealish,2023-04-11 19:17:27+00:00
@Muhammad_Saewad negara ap sih in ko kaya bajingan semua yg ngurus. ye alloh hancur kan lah para oenghianat bangsa in Amin ye robbel Alamin,2023-04-11 19:08:01+00:00
@GIBOLofficial Kynya ni akun bkn akun bola dh tpi Akun Provokator BAJINGAN,2023-04-11 19:05:28+00:00
"@RuangLucuuu Lo kaya bajingan tpi gua sayang sama loeee tapi kelakuan lo kaya belis jadinya gua benci dan ga mau lagi ketemu orang kek lo.

Mungkin itu yg aku ucapin ketmu mantan xixiixiz",2023-04-11 19:03:16+00:00
"perhitungan sudah matang, berantakan karena ulah bajingan brengsek satu. fakyu lah",2023-04-11 18:59:18+00:00
@JumintenMumet @Jkt_Networks3 @MazayaRahmalia @__AnakKolong @albert_morafia @an_ti_ka_drun @BuahsegarTandan @ch_chotimah2 @newIding30 @Jkt_Networks2 @sami86pilang @TalentaAndilau Doa YAMAN (RIZIEQ Imam BEJAT CABUL) buat YAMAN (YOHANIES YAMAN MURTAD BAJINGAN). https://t.co/8KMY7mVZED,2023-04-11 18:57:23+00:00
@PadmavatiPrati1 Bajingan mulutmu malariangeng 😡,2023-04-11 18:57:15+00:00
"kalo chat sm fira isinya cuma ngomong cok, asu, bajingan😭",2023-04-11 18:56:15+00:00
"agak nyesel ga login twitter, acc nya hangus bajingan",2023-04-11 18:47:03+00:00
@AREAJULID ada tau yg beginii.. hahahhaa. jd ngerasa ada temennya yg senasib guee.. laki² bajingan bangsat!!!,2023-04-11 18:38:10+00:00
"@gyuujm Samaaa lagiii, bajingan bener mereka tuh😃☝🏻",2023-04-11 18:37:02+00:00
"@iamhasyim @18fesss Lu laki ap cwo? Klo lu cwo, lu cwo bajingan. Klo lu cwe, lu cwe bajingan. Klo udh nikah, pasangan itu no. 1.  Cm cwo atau cwe brgsek yg mentingin temen. Apa lagi istri hamil. Gila sih soal bukber aja ampe sgtunya",2023-04-11 18:36:48+00:00
"Korban kok diewe 5x ye bajingan udah sesuai riset ya 15 taun tuh masih gampang kepengaruh begoo lu pada yg sok iye ngeliat postingan tiktok jualan skincare aja lu kepengaruh buat beli apalagi ni agnes diiming2 harta,kasih sayang dll.",2023-04-11 18:35:04+00:00
"besok aku ada uts apa ngga sih bajingan bajingsrot hik hik hik,,,,,,,,,,,, 😔😔😔",2023-04-11 18:35:01+00:00
"@WagimanDeep212_ Bajingan... Orang setua itu dipukul. Kalau gue anaknya, ajak duel tuh bajingan. Jangan ada damai. 😡😡😡",2023-04-11 18:34:10+00:00
"anjingkkk uda selesai ngedit video baru keingetan yg di post kan foto dluan.... belom gue edit bajingan itu foto"", mana uda ngantuk bgt. otw kena eval besok~ 
mana besok uts susulan belom gue pelajarin anjinkkkkk,,,, dadah world gue uda capEEK banget https://t.co/TfbbaVoAZ9",2023-04-11 18:33:51+00:00
"grammar tuh dibenerin dulu, bajingan.",2023-04-11 18:31:39+00:00
@Midjan_La_2 Diproses aja tuh bajingan. Biar dia tau rasa.  😡😡😡,2023-04-11 18:31:25+00:00
BAJINGAN 😭😭😭😭😭,2023-04-11 18:29:39+00:00
"Gapunya tenaga lagi buat nangisin laki-laki bajingan, really",2023-04-11 18:29:19+00:00
"Wajah menawan kelakuan bajingan wkwk

Lagi lagi aku tertawa melihat perilaku manusia yg terlihat sempurna di mata",2023-04-11 18:28:56+00:00
semua orang seperti bajingan,2023-04-11 18:24:52+00:00
@zidanpragata @Restty_cayah @narkosun Bajingan goblok,2023-04-11 18:23:44+00:00
"bajingan, gua lagi nangis jadi ketawa gara"" gimyung kodok https://t.co/t21f9ZVFy0",2023-04-11 18:21:46+00:00
"Bajingan, 1 pertemuan 100++ slide",2023-04-11 18:21:41+00:00
emng bajingan https://t.co/Omd24e6czw,2023-04-11 18:20:31+00:00
"BAJINGAN CWO BAJINGAN
INGET HUKUM KARMA BERLAKU
NDA ADA LAGI KATA SABAR
GUE NGIBARIN BENDERA PERANG",2023-04-11 18:19:21+00:00
Bajingan beli cuma di bantul ngapa ke solo dulu tolol https://t.co/CkXiHTDWZj,2023-04-11 18:18:49+00:00
"@redbloomsz @Midjan_La_2 Hati2 di jalan mbak Sef... Ingat gak semua orang itu baik, banyak bajingan-bajingan asu",2023-04-11 18:16:16+00:00
Bajingan asli bajingan jancok,2023-04-11 18:15:12+00:00
"Kok pas banget ya rilisnya 😂 habis konten YT rilis, isunya di up. Kerjaan bajingan mana ya ini",2023-04-11 18:12:53+00:00
BAJINGAN LO BENERAN BIKIN EMOSI 🫵😭😭😭,2023-04-11 18:11:43+00:00
wah bajingan le ngeracik h-1 kok iso L1. pie sek arep menyang kulon niki,2023-04-11 18:07:52+00:00
@idextratime Wkwkwkwkwk bajingan🤣,2023-04-11 18:06:13+00:00
"@na_stl Heh lonthe gw kerja su asu
Bajingan
Ngak usah banyak omong, Lo kek cewek anjing drtd mancing mancing ae
Asu bajingan,",2023-04-11 18:04:36+00:00
"Tiktod bajingan, isinya dilan milea semua 😭😭😭",2023-04-11 18:02:56+00:00
@panggilaku_nong Emang bajingan lu,2023-04-11 18:02:02+00:00
"@giginpraginanto Pembengkakan terjadi akibat keterlambatan jadwal. Seharusnya pihak pelaksana yg disanksi setiap hari keterlambatan. Kalikan sj jumlah keterlambatan dgn nilai kontrak..
Kenapa +62 yg nanggung pembengkakan nya ?
N
Ini sih B to B = BAJINGAN to BAJINGAN ‼",2023-04-11 18:00:51+00:00
"BAJINGAN gue LEMES BGT😭😭😭
 https://t.co/fGfNw8t5IM",2023-04-11 17:59:00+00:00
"Kocak anjg, gw cmn nanya kabar dan mastiin tmn dkt gw baik2 aja krn dia suka berurusan dgn polisi dan ga berlebihan, malah dia yg berlebihan ajg. mana gak ganteng cok aku jg ga tertarik sm cowokmu asu bajingan https://t.co/G5ehRuUccI",2023-04-11 17:53:23+00:00
