Tweets,Date
@JamalMusiala cosplay si madun lo bangsat? tinggal passing apa susahnya,2023-04-11 19:49:27+00:00
Ketemu enzy malah bilang kak mirip temenku sat bangsat bangsat 🥺🥺🫰🫰🥺👍👍👍,2023-04-11 19:49:26+00:00
@SoundOfYogi aduh ni napa gw nemu yg beginian pas lg usaha nge-ikhlasin si bangsat,2023-04-11 19:49:03+00:00
nyetir motor aja gabisa bangsat😔,2023-04-11 19:48:07+00:00
bajingan asu aku stress bangsat,2023-04-11 19:45:48+00:00
"@3new1fd3ntdcm Apaan si kontol, semua tranding lu mulu isi nya.. udah ga keitung gq ngblock org kek elu, bangsat emg",2023-04-11 19:42:56+00:00
"@samarindabase Sorry banget ya nder, bapak kamu bangsat bgt 🙏",2023-04-11 19:38:57+00:00
@idextratime iya anjeng wkwkwkwkw bangsat ah,2023-04-11 19:38:29+00:00
Bangsat bisa dipop sendiri barusan lgsg aman,2023-04-11 19:37:32+00:00
"masuk pagi jam segini belum tidur 
Bangsat",2023-04-11 19:37:23+00:00
@susulttraa @tanyakanrl iya gimana ya ka si dandi ini pedopil bangsat. tp agnesnya mauan jg lagi:(,2023-04-11 19:36:24+00:00
"Aduh bangsat, gak tidru tidur aku",2023-04-11 19:35:46+00:00
"@kadrunmampos Kenapa terus diserang ?
Mereka takut Setelah kekuasaan berpindah ke tangan Anies , para bangsat yang merusak dn merugikan negara akan di seret kepnjara.

Diera tokowe kerugian negara yg di rampok bisa mencapai Ribuan T. https://t.co/HNBYpKe3wc",2023-04-11 19:35:42+00:00
bangsat kek asrama cowok aja nih tempat,2023-04-11 19:34:43+00:00
bangsat udh ga pengen idup lwgi pengen msti gerus,2023-04-11 19:34:24+00:00
"Bangsat Rodriiii 😤
1-0 for City

#ManchesterCity  #MCIFCB #MCIBAY #UCL",2023-04-11 19:29:41+00:00
prime casillas jg gabisa nge save gituan bangsat,2023-04-11 19:29:40+00:00
bangsat,2023-04-11 19:29:10+00:00
"Bangsat Rodri, kaget eug 🔥",2023-04-11 19:28:49+00:00
@berisik_bangsat @FWBESS minimal kalo gamau bantu ato gatau diem aja bang pantes nama lo berisik bgt sesuai ternyata sm kelakuan☺️👍🏻,2023-04-11 19:28:15+00:00
BANGSAT RODRI APAAN ITU,2023-04-11 19:27:55+00:00
Bangsat keren goal Rodry wkk,2023-04-11 19:27:50+00:00
"Bajingan ini imigran...bangsat mereka...
Hukum mati saja mereka....",2023-04-11 19:27:09+00:00
"Ini gua kenapa si bangsat, sakit perut mulu 😓",2023-04-11 19:26:44+00:00
anjing gua baru banget ngitung ni gambar grgr gak selesai2 totalnya ada 59 bangsat https://t.co/xXaUdCd88z,2023-04-11 19:24:50+00:00
bangsat mlm mlm ot lagi,2023-04-11 19:24:01+00:00
bangsat 😭😭 https://t.co/udBjgHdQXz,2023-04-11 19:22:59+00:00
"@kelelalay @coffebit Bangsat, iya juga yak wkwk",2023-04-11 19:22:41+00:00
@yamazakishironi salah salah mksdnya yuta gepeng bangsat,2023-04-11 19:21:52+00:00
"BANGSAT YG HACK AKUN ANJIIIIING LAH WOOOY 😭😭😭😭
HELP HELP HELP GIMANA BALIKINNYA",2023-04-11 19:21:35+00:00
"Dirmh sendiri pun gua ngerasa sesek, dirmh sendiri pun gua ngerasa tkut. Dirmh sendiri loh pdhl dan gua sendirian buat bikin klian yakin klo gua berharga jg dimata klian. Gua sendirian, gua bnr bnr sendirian ngejatuhin smuanya. Muntah"" pun gua jlnin, muak bngt ANJING BANGSAT",2023-04-11 19:21:10+00:00
"“gatra bapak lo kaya gini ga gatra?”
“bapak gue udh mati bangsat”

😭😭😭😭😭",2023-04-11 19:19:50+00:00
"Gua udh gatau gua hrs plng kemana lgi sedangkan dirumah sendiri gua ngerasa sendirian, bisa ga sih udah gitu bangsat",2023-04-11 19:19:01+00:00
@brokenwhiskeey bangsat,2023-04-11 19:18:41+00:00
susah banget otak gue pahamnya sumpah mau nyerah bangsat pk pm full ngeblok,2023-04-11 19:18:29+00:00
"Kalau 1 tahun gue nabung emas 10 gram, 20 tahun emas itu menjadi 200 gram, wah biasa aja yah, tapi kalau setiap tahun di kali 2 selama 20 tahun, waw gue engga mampu bangsat beli nya😅berat investasi nya kalau di kali 2, jadi 10 gram kayanya lebih masuk akal",2023-04-11 19:18:28+00:00
Vidio ini bangsat udah bayar kok ada iklan,2023-04-11 19:16:41+00:00
"Bunuh aja sih bunuh, gua udh sendirian disini tuh ydh bunuh aja bangsat",2023-04-11 19:15:33+00:00
Bangsat salah akun😔😭,2023-04-11 19:15:31+00:00
menyesal nonton the first respondens anjengggggg FAK GA TRIMA BANGSAT,2023-04-11 19:13:32+00:00
@convomf gua sedang ada di fase ini bangsat,2023-04-11 19:12:41+00:00
@taesoobie BANGSAT masih favorite ⭐️,2023-04-11 19:07:59+00:00
bangsat bener banged,2023-04-11 19:07:58+00:00
@jntexpressid Bangsat paket gua dari tanggal 6 di Jakarta sampe sekarang gak nyampe rumah https://t.co/hQRYMRhHjQ,2023-04-11 19:05:49+00:00
lakok ndredeg bangsat,2023-04-11 19:04:45+00:00
BANGSAT DUA KALI 😭😭😭,2023-04-11 19:03:57+00:00
"@JNJMEnt bangsat betul masa nana diedit kek gitu 😭 eh tpi kucari di akunnya gak ada replyannya itu, dapetnya cuma au doang kayaknya udah dihapus.",2023-04-11 19:02:58+00:00
@FWBESS pulang lo bangsat wkwkwk,2023-04-11 19:02:57+00:00
Bangsat emang domba kuring,2023-04-11 19:01:54+00:00
CAN I SAY “ anjing babi bangsat” 😭,2023-04-11 19:00:56+00:00
KESEL ANJING GELEUH BANGSAT,2023-04-11 18:59:15+00:00
"@tanyakanrl kobisa ada orang setolol, segoblok ini hidup di dunia? beban banget lu bangsat, musnah aja lu biar ga bebanin kakak lu njing tau diri dong bangsat udah gada otak lu yg ada makanya kaga bisa mikir",2023-04-11 18:54:30+00:00
anjing emosi banget bangsat,2023-04-11 18:53:34+00:00
@Scentoflove_ anjing kau bangsat tai kuda sialan,2023-04-11 18:51:28+00:00
bangsat password nya 😭😭,2023-04-11 18:50:53+00:00
@SBKCF tromol tenan😭,2023-04-11 18:50:43+00:00
"tiktok bangsat
udh ye bikin gua ovt",2023-04-11 18:50:38+00:00
"BANDUAN PELIWAT SAIPOL SUDAH CHECKMATE 👍😹, tak sabar tengok manusia bangsat ini masuk jail kali ke 3 bersama indon pornorogol, amin @anwaribrahim @DrZahidHamidi @PKR_MALAYSIA 

Check out MFZ's video! #TikTok https://t.co/RfcAuS8SoP",2023-04-11 18:50:17+00:00
Bangsat ada kecoak 😭😭😭😭,2023-04-11 18:48:43+00:00
@oursummer304 emg bangsat semua. nangis aku kak.,2023-04-11 18:48:33+00:00
@abcdefuckyou19 Sumpah ini bangsat banget,2023-04-11 18:47:08+00:00
@tanyarlfes Bangsat banget modelan gini taik merasa paling deserve cowo/cewenya dibanding pacarnya dan anjingnya juga cowo/cewenya masih ngeladenin bangke fuckkkkk,2023-04-11 18:45:56+00:00
@imeldaaysf_ gabut po galaw syuu,2023-04-11 18:45:53+00:00
"@luckdidntwakeup semalam ada yg ngejar bangsat sepeda, untung aku cepet sembunyi",2023-04-11 18:45:44+00:00
"Belum! Fase pertama pasti nglunjak dulu, bangsat. Cari Pria dengan spek komplit ala nabi.
Seperti:
""Ganteng, kaya raya, tulus, setia, ta'at agama, punya pola pikir baik dan bisa mengendalikan elit global serta mampu menjaga perdamaian dunia dan mecegah perang dunia ketiga.""",2023-04-11 18:44:16+00:00
"bangsat lah, kadang benci bgt sama diri sendiri",2023-04-11 18:42:08+00:00
Suspiciousnya tahap bangsat,2023-04-11 18:41:30+00:00
"@VeelaaRhie Si Resti manusia tanpa kelamin masih berkeliaran dari 2014 ya...
.
Si bangsat ga punya malu",2023-04-11 18:40:46+00:00
bangsat sedih bgt dengerin bokap cerita tentang kesendirian dan kesepiannya😭,2023-04-11 18:39:55+00:00
@kegblgnunfaedh Bangsat juga ini orang yg di dalam mobil. Jancok!,2023-04-11 18:39:52+00:00
@AREAJULID ada tau yg beginii.. hahahhaa. jd ngerasa ada temennya yg senasib guee.. laki² bajingan bangsat!!!,2023-04-11 18:38:10+00:00
"Ini lah Gerombolan Pemimpin Munafik&amp; Bangsat @anwaribrahim @n_izzah @DrZahidHamidi @rafiziramli 

Check out Kedai TTDin's video! #TikTok https://t.co/9YNok5xLAz",2023-04-11 18:35:00+00:00
JANGAN DI QRT BANGSAT,2023-04-11 18:34:59+00:00
@ikyeu @Foreistkelt @RefalJKT48 mjb moots BANGSAT GW CEKIKIKAN PADAHAL MAU MEREM,2023-04-11 18:34:55+00:00
@babycasper_a same energy bgt bangsat wkwk,2023-04-11 18:34:45+00:00
@Jaeminerva bangsat,2023-04-11 18:33:42+00:00
COWO ANJING BABI MONYET BANGSAT,2023-04-11 18:33:11+00:00
@mitskitannies 😭😭 bangsat,2023-04-11 18:33:01+00:00
@moonareas bangsat bet kata gua🖕🏻,2023-04-11 18:32:17+00:00
@keteklembab @yusuf_dumdum yaiya kebiri jga ini orang Bangsat berkedok Agama yg katanya agama kasih 🤣🤣 https://t.co/PTFTKLu73X,2023-04-11 18:31:55+00:00
"gatau diri bngtt, nanti giliran chat nya yg ga dibales malahh marah², MAUNYA APASI ANJG, SEENAK JIDATNYA AJAA BANGSAT",2023-04-11 18:30:28+00:00
ANJING BANGSAT GW LIAT KONTOL AH UDH MALEM JUGA GW TABOK NENEK LU,2023-04-11 18:30:12+00:00
Hidup lagi capek capeknya malah rungkad bangsat.,2023-04-11 18:30:08+00:00
"Katanya, kecerdasan itu di perempuan, dan perilaku itu dari laki². Dan aku percaya. Aku bukan perempuan baik² yang ambis naikin value, tapi ada aja cewek value dapet suami bangsat.",2023-04-11 18:29:47+00:00
"Lagu yg direkomendasiin adek ke abang

""Loving you is not right""
Bangsat lah,serasa baca au gue https://t.co/kXSug5ENVI",2023-04-11 18:29:35+00:00
"iya ingat, karna twitter pertamaku lupa password dan gabisa dilogin lagi bangsat.

Ingatkah Anda kapan bergabung dengan Twitter? Ya, saya ingat! #HariJadiTwitterSaya https://t.co/d1RvOL1Ulk",2023-04-11 18:29:30+00:00
@Likejell1y BANGSAT GUE MAU MANDI DIEM LU,2023-04-11 18:29:11+00:00
BANGSAT MTK KU NGEDOWN PADAHAL NARGET MINIMAL 80/90 TOLOL,2023-04-11 18:28:14+00:00
kelakuan gue dari akhir maret kayak bangsat,2023-04-11 18:26:50+00:00
"BANGSAT SAKIT BANGET ANJINGGGGG.
KENAPA KEMAREN BILANG SOME ONE SPECIAL, BILANG WINAKU, TAPI SEKARANG BILANG CUMA TEMEN GIMANA SIH ASUUUU AH TAIKKKK",2023-04-11 18:26:20+00:00
BANGSAT REO WKWKWKK,2023-04-11 18:26:16+00:00
"@tanyakanrl ngotak anjing, gatau trimakasih bgt bangsat",2023-04-11 18:25:46+00:00
bangsat typingnya lucu kabeh asu,2023-04-11 18:25:34+00:00
@caprsicorn bangsat kaoo,2023-04-11 18:25:30+00:00
"weuyyy
Anak anak Bangsa..
Bersatulah lawan tirani..
Jangan karena beda pilihan capres kalian malah asyik gontok gontokan..
Fokus pada bobroknya institusi dan pejabat bebal para bangsat bangsat Bangsa..!!
Hukum masih timpang tak bertaji..!!
Ayo bersatu..
Ayo bersuara lantang...!! https://t.co/05MnFPpxE7",2023-04-11 18:22:17+00:00
Bangsat gua kira selama ini muka dia emang cuma kaca doang https://t.co/MeplN7O3TV,2023-04-11 18:21:41+00:00
@benpci @rooukok bangsat,2023-04-11 18:20:19+00:00
BANGSAT KETAWA BGT BAJINKKKKKKLLLL 😭😭😭🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2023-04-11 18:19:40+00:00
"Ada aja orang yang beretika telp jam segini anjing. Padahal baru tidur, jadi gak bisa tidur bangsat",2023-04-11 18:18:51+00:00
Babi kau ya bangsat,2023-04-11 18:18:15+00:00
@getolokal gor bangsat,2023-04-11 18:17:03+00:00
"bangsat banget dah tadi gua lagi nangis kicil, terus buka twitter langsung muncul jeon jungkook kek qakxelsnwlnff. gila anjing gua",2023-04-11 18:16:57+00:00
mana di ladenin sm hyunsuk bangsat😂,2023-04-11 18:16:52+00:00
@meminummu bangsat,2023-04-11 18:16:52+00:00
"Bangsat ga  ekspek kalo mawang diundang 🤣

https://t.co/EoLJb3fDW5",2023-04-11 18:16:18+00:00
LU LIAT TYPING TEMEN LU BANGSAT @NahxBBL,2023-04-11 18:16:02+00:00
"@narkosun @DivHumas_Polri Untung bgt ad cctv.. bangsat tu orang, kezal",2023-04-11 18:14:15+00:00
"silakan komen, berpendapat, berprinsip kaya gini KALO lakinye juga mau ngelakuin hal yang setimpal yah bangsat. jangan atur gw kalo lu sendiri gak mau gw atur.",2023-04-11 18:14:04+00:00
mnt recommend au ke lala mlh dikasih au gay bangsat agak gila jg pny tmn,2023-04-11 18:13:04+00:00
@bs_vito Lebih bego lu... Bangsat buzzer,2023-04-11 18:12:24+00:00
