Tweets,Date
"Bedebah Sane, bahaya banget.",2023-04-11 20:07:13+00:00
"Mbok ngalah, bid en ae terus https://t.co/cZBtrDAo2d",2023-04-11 20:01:45+00:00
@arduinowhite Perkumpulan bedebah alter,2023-04-11 18:28:20+00:00
"@giginpraginanto Bener2 para Bedebah.. Jepang all out kasih harga ekonomis, dibuatkan desain secanggih mungkin.. Eh dikhianati demi dana nya di rampok rame rame.. Laknatullah",2023-04-11 18:18:26+00:00
@Umar_Hasibuan__ @alvinlie21 Terlalu bedebah,2023-04-11 16:49:27+00:00
@Fahrihamzah Banyak urusan hukum yg lebih aneh lo malah diem aja..bedebah bela bedebah,2023-04-11 16:45:39+00:00
@PUTRY_NUSANTARA @islah_bahrawi @AnakTangsiAD Pendukung TERORIS justru yg mengalihkan issue TERORIS mmg BEDEBAH !!  @bangdoelaje  😤😤👎,2023-04-11 16:26:48+00:00
"bedebah yak ini kecoak, mentang2 kemarin aing d word kan 1 kecoak ini bales dendamnya rice cooker aing dibokerin",2023-04-11 16:21:23+00:00
bedebah sialan lu,2023-04-11 16:03:06+00:00
"Negeri para "" BEDEBAH""",2023-04-11 15:49:43+00:00
"@Jkt_Networks3 Wajah"" bedebah 😅",2023-04-11 15:16:50+00:00
"Punya, buku tere liye judulnya bedebah di ujung tanduk. Dapetnya dikasi sama someone😆 dia order bukunya online include sama ttdnya. Dia tau aku suka tere liye, pas aku tau yg include ttd sequel favorit aku tuh rasanya aaaa &gt;&lt;",2023-04-11 15:12:09+00:00
"@GunawanAryaPutr @KPK_RI Gerombolan bedebah..harusnya pemerintah dulu jangan ngasih deponeering/pengampunan kepada bajingan ini, mantan2 ketua KPK..Samad, Bambang juga Novel Baswedan..Saut juga si tua bangka jenggot kambing!!!!",2023-04-11 14:53:32+00:00
Emang korsel itu negeri para incel. Bedebah macam gini bagusnya di k word aja bgst,2023-04-11 14:49:53+00:00
"@EllyKoro Wajah"" bedebah",2023-04-11 14:32:49+00:00
Bedebah banget komeng,2023-04-11 14:31:24+00:00
"@__AnakKolong @DPR_RI Hahaha semua berlomba bersih, mengumbar benar dg dasar nalar. Gak tahunya ada yg bayar. Republik para bedebah. Iya kita semua bedebah!",2023-04-11 14:27:00+00:00
@PartaiSocmed Mungkin itu harapan para bedebah di negeri ini,2023-04-11 14:14:56+00:00
@bbearongie Bedebah,2023-04-11 14:05:11+00:00
"Di tanah lada, the alchemist sama negeri para bedebah",2023-04-11 13:58:15+00:00
@Belok_dong PD ngumpul para bedebah,2023-04-11 13:37:54+00:00
"Revive your heart sama how to reclaim your heart. 
Plus pingin beli series bedebah (pingin barter dah ama series pulang). Aku cuma pingin koleksi Thomas, tp malah punyanya Bujang 😮‍💨",2023-04-11 13:33:57+00:00
Negeri para bedebah.,2023-04-11 13:31:03+00:00
"Bedebah!!!

https://t.co/OowoWOuV7h",2023-04-11 13:28:06+00:00
@SHPDCMPABABD @jokowi Negara GAGAL mensejahterakan rakyatnya.... hasil hutan kami dan hasil bumi (tambang) kami diKalimantan habis... bedebah,2023-04-11 13:25:43+00:00
"wtb. Ebook Tere Liye ""bedebah di ujung tanduk""",2023-04-11 13:20:56+00:00
negeri para bedebah 🤟,2023-04-11 13:18:46+00:00
"Haaland nggak usah banyak gaya gonta ganti model rambut. Digebukin @FCBayern baru tau rasa lu, bedebah. https://t.co/wmY9MKAN1x",2023-04-11 13:13:24+00:00
"@JJRizal Hanya ada di negeri para bedebah para maling,koruptor dan garong duit negara disambut sbg pahlawan........pahlawan para maling....
😂",2023-04-11 13:10:01+00:00
@MelesetDikit Negeri para bedebah,2023-04-11 12:49:35+00:00
@VIVAcoid Bedebah tuh orang,2023-04-11 12:28:44+00:00
"@MinmonPS7 Sependapat.. moral negara ini udh gak ada, bagaimana bs napi koruptor bebas di elu2kan sama grombolan nya seakan2 pahlawan. Makanya koruptor di negara ini subur dan tak tau malu , bahkan ada yg di angkat stafsus mensos 👎🏻👎🏻👎🏻.. negara bedebah",2023-04-11 12:23:27+00:00
@Midjan_La_2 Bedebah...,2023-04-11 12:21:20+00:00
"@ajengcute16__ Wes wayahe.. 
era nya para bedebah di anggap jadi pahlawan. 
Para pendosa di puja2.
Ksatria di keroyok bolo kurowo.
Namun,, tetap percaya. Badai pasti berlalu.
Musim akan segera berganti.",2023-04-11 12:13:25+00:00
@dimdim0783 negeri para bedebah,2023-04-11 11:57:29+00:00
@malaymail bulan yg mulia ni mari kita doakan balasan si bedebah di dunia dipercepatkan,2023-04-11 11:49:54+00:00
@indomyfess gw kasian ke jimin kasian juga ke army yg udh berusaha ini itu buat charting mlh para bedebah seenak udel ngapus²in dimanipulasi segala macem. capek bgt woy tp mau gmna lagi mereka jahat bgt tolong😭😭😭,2023-04-11 11:49:16+00:00
@umnoonline bulan yg mulia ni mari kita doakan balasan si bedebah di dunia dipercepatkan,2023-04-11 11:46:17+00:00
"@tanyakanrl ""Khilaf sekali aja ngajak putus, gimana kalo udah berumah tangga. Aku khilaf berkali-kali"" berarti udah ada prediksi dia selingkuh lagi tcih syibal sekkiya dasar bedebah",2023-04-11 11:28:47+00:00
@MichelAdam9191 @6ang_Said Lalu Para Bedebah bilang Negara ini sedang Baik2 saja.,2023-04-11 11:07:17+00:00
"@Syarman59 @wongkalibanteng @KPK_RI @firlibahuri Lihatlaah..mereka gerombolan bedebah para mantan ketua KPK..bagaimana mereka2 YG NOTABENE pembela koruptor BISA menjadi pejabat KPK yg harusnya ANTI KORUPSI dimasa lalu? Dan harusnya ga ada Deponeering terhadap mereka para bedebah itu..Samad, Bambang jg Novel",2023-04-11 10:00:50+00:00
@ErikAlamsyah18 negara para bedebah,2023-04-11 09:59:32+00:00
@AZakhanur Kalau hidup di negara para bedebah maka pasti itu yg kita rasa,2023-04-11 09:30:06+00:00
"@Nanaka_Kanono Bedebah bot, namanya. 

Ya Allah. Cuntungku. 🤣🤣",2023-04-11 08:49:53+00:00
"@Gunto_Jaya9 @ganjarpranowo @jokowi sumber masalah harus berani dipotong,
tapi kalo saling sandera bagaimana bisa?
jadi lupakan,potong dulu rezim ini
kembalikan regulasi2 bedebah yang terbit pada rezim ini kepada proses demokrasi yang bermartabat
ada dialog, ada dialektika, ada keseimbangan
https://t.co/OOZrGmyBY1",2023-04-11 08:43:28+00:00
Menyambut sang mantan koruptor...luarbiasa gak ngotak,2023-04-11 08:35:21+00:00
@Tjel0up Dewa durga,2023-04-11 08:30:35+00:00
"@J0yoWi @BennyHarmanID Mungkin ini disebut negeri para bedebah itu ya, koruptor di sanjung",2023-04-11 08:13:07+00:00
@islah_bahrawi @Restty_cayah Ayo wiii lebih keras lagi jualan radikal radikul....biar berasnya nambah😂...lumayan kan bisa buat zakat fitrah😂😂😂😂😂,2023-04-11 08:13:01+00:00
"@islah_bahrawi @Restty_cayah Meskipun aku bukan buzzer capres ,apalagi buzzer beras sepertimu😂,aku lebih najis mugholadhoh sebarisan SMA loe wiii😂😂",2023-04-11 08:10:28+00:00
"@tanyakanrl Disaat orang berlomba-lomba untuk selingkuh.
maka jadilah orang yang loyal, karena sekarang loyalitas adalah sebuah kebanggaan.
Leave it, cari yang lain.
manusia bedebah itu.",2023-04-11 07:48:46+00:00
"@DoankWarto Bedebah dibilang kyai atau habib, mulutnya masih comberan yg melekat dihati masyarakat, 100% tidak sudi dan tidak akan terjadi nauzdubillah mindalik",2023-04-11 07:45:37+00:00
"Park Jimin.. saking benderangnya sinar yang kamu pancarkan, sampai bikin para bedebah se-industri berbondong-bondong melakukan 1001 cara hanya untuk membuat kamu redup dan terasingkan :(",2023-04-11 07:14:01+00:00
Israel laknatullah alaih...,2023-04-11 06:38:12+00:00
@rezarazali Tangkap bedebah tu. Panggil dia bagitau satu per satu semua cytro PN. Hehehehe,2023-04-11 06:31:03+00:00
"ta tandain hari ini, bedebah semua https://t.co/5Y7EqB9EZe",2023-04-11 06:20:32+00:00
"@prastow Jadi Inget Puisi Negeri Para Bedebah 

Pejabatnya Bergaya Hidup Mewah
SDA Diobral Murah
(Hutan, Laut, Darat Jadi Bubrah)",2023-04-11 05:41:39+00:00
"Dengar"" kabar HRC team mengajukan banding atas ketidakkonsistenan thd pemberlakuan pinalty ke marc yg awalny ditetapkan di race argentina🤫 bisa bedebah nih situasi.kalau banding tsb menang",2023-04-11 05:28:12+00:00
@ndreamon Poster imut.. Cerita bedebah.. Full gore,2023-04-11 05:20:01+00:00
"@YasrizalJ57255 @an_ti_ka_drun Bani pemakan t4i onta...mukanya sendiri di blur 🤣🤮 potongan celeng alas bedebah malah bawa bawa islam 🤣🤣 judulnya ga brubah brubah,otak kau celeng persisi bentukmu 🤮🤮🤮",2023-04-11 05:16:11+00:00
"@tanyakanrl Bisa jadi. Kalo kamu ngerasa begitu, selesaikan skripsimu ya bedebah. UKT kadang bikin org gabisa mikirin kebutuhan lain. Kakakmu udh ngegantiin posisi ortumu dgn biayain kuliah. Tau diri dikit. Dia mungkin juga punya mimpi yg pengen segera diwujudin. Ra ming ngurusi dapuranmu.",2023-04-11 04:50:59+00:00
bajingan bangsat bedebah @billboard,2023-04-11 04:47:27+00:00
"NGA YAH BAJINGAN ITU ANAK JI SAMA GI BUKAN ALA LOH BERDUA BEDEBAH!! JAUH"" ANJIR DARI KEPONAKAN ONLINE GUE AMA KELUARGA CEMARA GUE😤😤😭",2023-04-11 04:45:06+00:00
@teks_bebas @sosmedkeras bedebah :v,2023-04-11 04:40:51+00:00
"@user0108022470 @ssashii__ Apa sih yang engga buat dua adick bedebah
Nih spill https://t.co/CZp0BhbE8o",2023-04-11 04:35:07+00:00
@choymarkochoy Negri bedebah saat ini SOS +62  .@VOANews @voaindonesia @USEmbassySeoul @USAinKSA https://t.co/6HuzoWlkS2,2023-04-11 03:34:27+00:00
"@tvOneNews diancukk...
hanya di negeri para bedebah maling/garong/koruptor dielu2kan....",2023-04-11 02:43:05+00:00
"negeri para bedebah, koruptor rasa pahlawan pake disambut segala ..",2023-04-11 02:27:47+00:00
makin2 aje plot NTR bedebah,2023-04-11 02:17:15+00:00
@Obay_Kusut1981 @PWibawa57 @demokrat_jakpus Hanya di negeri para bedebah koruptor disanjung2 bak pahlawan pantesan Indonesia negara terkorup di Dunia krn tdk ada efek jera lihat betapa tersanjungnya koruptor ini bagai pahlawan pdhl dia masuk bui saat SBY lengser tp muka tembok kulit badak ini tetap aja kait2kan masa lalu,2023-04-11 01:58:17+00:00
@literarybase negeri para bedebah hehe,2023-04-11 01:43:14+00:00
@OposisiCerdas Baru di negeri bedebah koruptor disanjung sanjung bak pahlawan pantesan Indonesia negara terkorup di Dunia krn tdk ada efek jera lihat betapa tersanjungnya koruptor ini bagai pahlawan pdhl dia masuk bui saat SBY lengser tp muka tembok kulit badak ini tetap aja kait2kan masa lalu,2023-04-11 01:06:25+00:00
Bedebah 😡,2023-04-10 23:58:59+00:00
Astaghfirullah pagi² dibikin emosi sm bedebah bangke,2023-04-10 23:18:52+00:00
@C_D3pp Negara rusak karena parah bedebah........,2023-04-10 23:14:38+00:00
"Berita yg akhir2 ini bikin sebel. Ini yg gede, belum yg recehan di KL, Pemda, BUMN, BUMD, dll. Para bedebah serakah ini bagusnya didoakan miskin saja. Kalau masuk penjara, penuh. Tapi kalau miskin, paling jadi pada sakit jiwa. 😬",2023-04-10 23:09:04+00:00
"@BeritakanID_com Dari awal ada KPK apa SDH menjalankan amanat dgn benar?
Semua berkasus dn gaduh itu artinya TDK penting,ngabisin anggaran saja sementara pemerintah hrs mikir bayar utang gegara para bedebah.",2023-04-10 22:45:26+00:00
