Tweets,Date
@Bams27735590 Biadab omong kosong. Kebohongan2 ini yg bikin umat islam +62 slalu salah kaprah dan terprovokasi untuk tdk obyektif berpikir dan bertindak terhadap isu palestina.,2023-04-11 19:41:47+00:00
"@tanyarlfes Menimbulkan perdebatan kalo mertua sender spek biadab.. Gue malah galfom ke menantu yg lain.. Ini seriusan dia ""melayani"" mertua sendernya?.. Trus sosok si suaminya (sodara lakinya sender) ngga ada respon apa2?.. Atau dia sama suami sender nya sama2 ""nurut"" bgt sama mamih?",2023-04-11 19:21:41+00:00
@narkosun @DivHumas_Polri si anjing!! tolol babi biadab sok keras anjiiiing monyet preman kampung.,2023-04-11 19:09:48+00:00
@awdeyah @athallahrn anak biadab emg,2023-04-11 19:06:09+00:00
@HayoSiapaAku98_ @tanyakanrl harus kita backup lawan tuh government biadab,2023-04-11 18:48:17+00:00
@radenrauf “aku disuruh fokus belajar dlu” tau taunya selingkuh ngentot lah cowo biadab,2023-04-11 18:45:47+00:00
jahat bgt biadab gaada akhlak,2023-04-11 18:29:46+00:00
ini hansol tipikalnya kayak jila anjing😭😭😭 klo ngetik biadab,2023-04-11 18:22:54+00:00
@April__THR Emang kurang ajar tuh. Gak ada sopannya. Biadab...,2023-04-11 18:22:52+00:00
"seperti yang dituduhkan sekelompok orang tersebut..
Dari sisi kemanusiaan, tindakan ini sangat biadab dan sangat merendahkan wanita..
Hingga hari ini belum terlihat respon pihak kepolisian setempat dalam menyikapi kejadian ini...
@DivHumas_Polri 
@ListyoSigitP 
@WagimanDeep212_",2023-04-11 18:19:13+00:00
Sedih bgt biadab😭😭,2023-04-11 18:15:15+00:00
@thvsg_ @girlisqueen @dwrjlblu @goatamine kan kan bahas bb lagi dasar anak biadab tdi katanya mw bahas yang lain dah lah ssh ngmong sma lo,2023-04-11 17:40:14+00:00
gelang biadab https://t.co/ZuCpwAQacN,2023-04-11 17:34:59+00:00
anjg anjg anjg ganampak tolol manusia biadab,2023-04-11 17:14:45+00:00
"Haduh, ini biadab. Otw pake baju oren ya pak",2023-04-11 17:11:15+00:00
@Hendrafathi @halalhomer_ Tentara zionis israel biadab terkutuk jahanam terlaknat bangsat !!!,2023-04-11 17:06:44+00:00
Komeng biadab lucunya😭😂,2023-04-11 17:04:15+00:00
Emang orang2 egois nan biadab mereka,2023-04-11 17:02:07+00:00
@Midjan_La_2 Tangkap manusia biadab pemukul ojol !!,2023-04-11 17:02:02+00:00
@itskucell @IDF Israel biadab penjajah pembantai  zionis bengis 👹👹👹👹👹,2023-04-11 17:01:29+00:00
"⠀
“Gak malu sama ortu lu di kampung? Udah hamilin anak orang, ngewe sama bini orang dan jadiin dia selingkuhan lu.”

“Lu sadar gak sih kalau lu itu bener-bener biadab?!”

“Punya otak kagak sih lu? Wah, anjing… JAWAB DONG!!”
⠀",2023-04-11 16:55:32+00:00
"Polisi keterlaluan biadab.pukul org gila sampai hidung darah hbis
Atas nama DEKI DEGEI. https://t.co/h4my1mV8gX",2023-04-11 16:54:49+00:00
"bisa gak sih moonton ban 2 mm biadab ini 🙏
cape bgt hari hari lose streak kntl https://t.co/MHojsZ0vXA",2023-04-11 16:52:25+00:00
@tanyakanrl yaallah biadab bgt manusia😭😭,2023-04-11 16:49:07+00:00
@Been4Q59 Teroris biadab perampok tanah palestin terkutuk,2023-04-11 16:43:54+00:00
@musniumar Biadab saya mau diberantas,2023-04-11 16:38:38+00:00
"@tanyakanrl Najis banget, biadab banget jadi orng",2023-04-11 16:33:43+00:00
"@AremafcOfficial 1   - 0 skor kemenangan Persebaya
3  Point untuk Persebaya
5  Menit tambahan waktu
BUBARKAN TIM BIADAB 🤮🤮🤮🤮🤮",2023-04-11 16:32:57+00:00
"betul jangan dibiarkan saja, tindakannya makin biadab
#KKBMakinBiadab",2023-04-11 16:32:56+00:00
"@tanyakanrl Biadab bgt, ayamnya dari ngepak-ngepak coba kabur, sampe akhirnya mati😭😭😭😭😭 pls kalau udh ketauan dia siapa, langsung tusuk boolnya aja pake gagang pacul.",2023-04-11 16:31:57+00:00
@tanyakanrl BARU BGT GUA LIAT VIDEONYA ANJG GILA BGT TU ORG BIADAB,2023-04-11 16:30:55+00:00
@aigookamcagi @tanyakanrl Dah lliat video nya anjir nyesel stress mual bgt liat nya. Harus pake cara apa supaya ga kebayang muka biadab nya ni org😭,2023-04-11 16:30:53+00:00
film hope sedih banget anjinggggggg film tersedih yang pernah gua tonton kek anjing lah lu cho doo soon tua bangka anak dajjal babi biadab aturan dia kebiri anjink setan,2023-04-11 16:30:37+00:00
