Tweets,Date
"Aku kenyang sama kecewa tiap kali survival mnet, cara satu satunya ya gak buka twitter. Kalau mau ngetik kasar juga mending di akun kosongan dan privat akun. Aku gabisa nenangin fandomku dengan kata kata gapapa semisal G gak debut, karena nyatanya jellyfish brengsek.",2023-04-11 20:04:38+00:00
@burgerkiII Brengsek,2023-04-11 20:02:18+00:00
BRENGSEK KNP GANTENG BANGET,2023-04-11 19:59:23+00:00
@dencisbalado boy cowo ter kul brengsek,2023-04-11 19:54:11+00:00
"@soberinterlust @sosmedkeras Duh makin trust issue gue sama cowo ngeliat ginian dimana², real life pun ketemu dan justru malah dr cowo² yg paling ""ga mungkin"". Kasian sebenernya si sender ya tapi istri sahnya kalo ga mau ikut campur urusan mereka wajar dia juga pihak yg disakiti. Ini mah cowonya aja brengsek",2023-04-11 19:53:29+00:00
menangisi cowo cowo brengsek adalah hobby saya https://t.co/D8aplVo3pU,2023-04-11 19:47:58+00:00
"@BatuKepla @WagimanDeep212_ Habisi aja bang sekalian,biar mengurangi populasi orang2 brengsek",2023-04-11 19:46:42+00:00
"ga sedih samsek anjj soale kek rasa ini sudah habis? soalnya dia kek tai, agak brengsek dan gye bisa lah dpt lebih dr itu?? WKWK udh ah jelek anjj ngotorin ni akun aja",2023-04-11 19:38:28+00:00
"kalo ada yg lebih cringe dr omongan ngabers, itu adalah isi tweet anonim gue. 2 jam yg lalu curhat disana, trs sekarang gue baca lagi..brengsek geli bgt🥲",2023-04-11 19:35:09+00:00
"Lu tinggalin gw yg lagi berjuang, dan milih si B, eh si B cuman brengsek 😂
Elu nyoba ngehubungin gw lagi, tp gw kaga siap buat maafin elu 🤣
Malah baru kenal ama C lu lamaran trus ijab kabul ... Ninggalin agam kita yg sebelumnya,",2023-04-11 19:34:07+00:00
@ghavajar @tanyakanrl wkwkkwkwk brengsek,2023-04-11 19:32:32+00:00
"@tanyakanrl Nder susah untuk balik uangnya karena ini kesalahannya pure ada di kamu karena teliti. Maaf kalau terkesan salty yaa. Tapi pihak bank juga gabisa memproses kalau kaya gini. Akun bank bodong tu emg brengsek banget nder, that's why emg harus teliti",2023-04-11 19:29:05+00:00
setelah sekian lama farming ternyata matsnya ketuker brengsek,2023-04-11 19:22:44+00:00
Grealish brengsek amat mainnya,2023-04-11 19:15:54+00:00
"@convomfs brengsek sekali cowoklu, mnding putus nder",2023-04-11 19:14:02+00:00
"biarpun kelakuan lo brengsek, TAPI I LOVEEEE YOUUU JAEGARR 😭😭🫶🫶💖💖",2023-04-11 19:13:02+00:00
HAHAHAHAHHAHAH BRENGSEK KNP LHCU BGTT,2023-04-11 19:09:56+00:00
"@sciensince brengsek laki gue tuh, jujur gue cape bgt 😭",2023-04-11 19:05:57+00:00
@idextratime brengsek tiba2 tutur tinular,2023-04-11 19:03:42+00:00
@rizatimbel apa maksud emoji lo brengsek,2023-04-11 18:59:30+00:00
"perhitungan sudah matang, berantakan karena ulah bajingan brengsek satu. fakyu lah",2023-04-11 18:59:18+00:00
"Brengsek, galauin EreMika jam segini? gw!",2023-04-11 18:55:47+00:00
brengsek lu cengeng juga😔🫵🏻,2023-04-11 18:53:30+00:00
"Besok kerja dan masi gabisa tidur kepikiran kejadian barusan yg terlalu cpt, sumpah lu orang paling brengsek dr semua orang brengsek yg pernah gua adepin. I wish I could send u back to ur maker, forgiving u or me is His consent but sending u to him, I'll be the first one stood up",2023-04-11 18:50:23+00:00
"brengsek, belum sehari udah kangen. GAJE BGT TAIIII",2023-04-11 18:48:50+00:00
@__Melliflous @tanyarlfes BRENGSEK WKWKWK,2023-04-11 18:44:40+00:00
"@tanyakanrl ""gimana kalo berumah tangga aku khilaf berkali-kali"", nah buat menghindari itu mending ga nikah sm lu ya asu. belum nikah aja udah ada niatan khilaf berkali kali, brengsek.",2023-04-11 18:44:37+00:00
"Siklusnya sederhana!
Rusak dan bobrok karena pilihannya sendiri, dipakai secara gratis sana-sini oleh para lelaki brengsek yang jumlahnya tidak dapat dihitung dengan jari. Bahkan harga dirinya lebih murah dibandingkan wanita penjual tubuh.
Lalu apakah mereka sadar setelah lelah?!",2023-04-11 18:44:15+00:00
@convomf kalo hts tapi salah satunya brengsek atau cemburuan. kata aki mah mending gosah hts,2023-04-11 18:42:03+00:00
"gak ad banh,,,, tp ttep aj ak hrus absen jam 8 brengsek cpe",2023-04-11 18:41:28+00:00
brengsek gebrakan apa lagi ini choi hyunsuk,2023-04-11 18:39:39+00:00
Maaf ini gw stress bgt wifi di rumah JELEK banget BRENGSEK.,2023-04-11 18:39:09+00:00
"Takut, bingung, kaget, jdi satu. Demi Tuhan lu lebih brengsek dr pk",2023-04-11 18:38:14+00:00
mending jadi cewe gila yg brengsek biar dapet cowo bener,2023-04-11 18:37:47+00:00
gwejj 😔 ga bisa jadi brengsek cuy 😭,2023-04-11 18:37:36+00:00
@aanjunz EMANG BRENGSEK AJA KALIAN NI,2023-04-11 18:32:20+00:00
YA ALLAH SEI BAYIK MINI GEMES BANGET BRENGSEK,2023-04-11 18:31:37+00:00
ah gajadi bank juga brengsek 🫠,2023-04-11 18:29:51+00:00
"brengsek,menyedihkan sekali kisah percintaan saya",2023-04-11 18:29:41+00:00
"hidup gue keknya cuman dimanfaatin cowo"" brengsek doang deh☺️",2023-04-11 18:26:33+00:00
Brengsek matwa besok,2023-04-11 18:25:06+00:00
Ga malu cuma gua bersyukur ketemu lu jdi ketauan brengsek nya y ajg,2023-04-11 18:24:10+00:00
brengsek 😭,2023-04-11 18:23:34+00:00
@saraaamnn Azab gibahin cowo brengsek,2023-04-11 18:20:48+00:00
"bisa ga sih pas di kehidupan selanjutnya, gue request punya orang tua yang stabil akan segalanya dan punya kakak yang baik, bertanggungjawab, ga brengsek, ga nyusahin orang tua?",2023-04-11 18:18:02+00:00
KENAPA MALAH SAKIT PERUT BRENGSEK,2023-04-11 18:16:37+00:00
@zsaturrn @convomf brengsek gw udah ngumpulin brapa meme motor ya,2023-04-11 18:15:54+00:00
dih gw brengsek bgt ternyata,2023-04-11 18:15:17+00:00
"@riki30052022 y kann, tp ak sekolah brengsek ueueueuwueueueue🥺",2023-04-11 18:14:49+00:00
ANJINGGGG UDAH LAMA GUE GAK NGELIAT VIDEO HARAM SEKALINYA LIAT KAGET BRENGSEK 😩😩😩😩,2023-04-11 18:12:39+00:00
brengsek ternyata msh blm bisa otak atik ferio sendiri asu kabelnya malah tak potong kabeh😭😭😭,2023-04-11 18:10:08+00:00
BRENGSEK APA APAAN HAO,2023-04-11 18:10:03+00:00
Brengsek lah anj,2023-04-11 18:09:19+00:00
Alhamdulillah masih bertahan https://t.co/XOU9RgehYq,2023-04-11 18:08:27+00:00
Brengsek,2023-04-11 18:07:45+00:00
brengsek.,2023-04-11 18:03:40+00:00
@nvdrwb anak brengsek awkwkwk,2023-04-11 18:02:27+00:00
emang brengsek,2023-04-11 18:02:02+00:00
brengsek,2023-04-11 17:59:44+00:00
"brengsek karyawan alfamart nyimpen nomer gue terus ngechat di wa, JAM 00.48. egk bener nih karyawan anjim",2023-04-11 17:56:08+00:00
"KAE BRENGSEK BAJINGANNNNNNNN, YAAMPUN NYESEL AK PERNAH NGIRA KAMU PALING IJO DIANTARA YG LAIN, TAUNYA PALING MERAH CABE ANJIR MAMPUS KAUUUU SETANNNNN https://t.co/OJQJg4ULDG",2023-04-11 17:54:28+00:00
@nasikhinahmd Ketoro sampeyan iki arek mbetik 😀😀😀,2023-04-11 17:48:58+00:00
@tanyakanrl Duh papa² tipe yang paling bener tu brengsek parah seh,2023-04-11 17:48:22+00:00
bengek bgt brengsek 😭,2023-04-11 17:46:51+00:00
"""laki tu kalo dilarang makin begini begitu""
""cowok suka ngerokok blm tentu brengsek"" dan blablabla lainnya

Egois bgt maunya paling dingertiin padahal jelas-jelas bad habit yang bisa ngerugiin org sekitar

Makanya skip bgt, kalo masi ada opsi sama cowo ga ngerokok ngapain repot",2023-04-11 17:46:32+00:00
@neyilatte mff aku masih stay team Javi zanna walaupun Javi brengsek kek anjsknxhsbsj 😭🙏🏻,2023-04-11 17:45:51+00:00
knp cwek baik n polos slalu ktemuny sm cwok brengsek mesum gk tau malu,2023-04-11 17:45:26+00:00
"jatuh cinta emg se brengsek itu, jadi jangan heran.",2023-04-11 17:45:10+00:00
@haidarpedroo Brengsek,2023-04-11 17:44:52+00:00
@dipangkubts BRENGSEK,2023-04-11 17:42:46+00:00
"@neyilatte mff bgtt aku msi stay team Javi zanna , walaupun Javi brengsek kek anjsknxhsbsj",2023-04-11 17:42:37+00:00
"niat maen game biar ngilangin stres, malah makin stres karna ini game brengsek susah banget https://t.co/GVxpU7ebu9",2023-04-11 17:42:04+00:00
"@DalaiLama 
bajingan brengsek orang sepertimu tidak seharusnya berada di tempat mereka bajingan yang tidak bercanda pedofil sialan atau permintaan maafmu homo!!! Saya punya keponakan dan saya tidak akan pernah membiarkan orang mesum",2023-04-11 17:41:57+00:00
