Tweets,Date
JNT kampret😡😡😡,2023-04-12 07:55:05+00:00
mmf guys ak ngerepost galo galo mulu ditiktok kampret🤣 jd malu,2023-04-12 07:53:47+00:00
"Ntar ada Yg hina Salib ada jin kafir 🤣
Miroritas di plintir masuk sel
Mayoritas Hina Allah agama lain aman
Dimana letak keadilan? 
Di Arab toleran 
Di Indonesia ada kampret🤣
Allah ga perlu Ijin u Ibadah
Mesjid banyak ga IMB aman
@YaqutCQoumas @saidaqil
@KatolikG @islah_bahrawi https://t.co/P9XIiBOzvg",2023-04-12 07:52:20+00:00
"Also dpet 2 bocil barengan, selamat datang ke akun gw yah kids

Tuh kan liat gabisa gw dpet kons diluc lagi emg kampret 🤡 my diluc will stay c3 forever 🫠 https://t.co/6EiklcJVhS",2023-04-12 07:51:04+00:00
"Ada nya Cebong dan Kampret berkat ada nya:

... Divide Et Impera ...

Waspada...

Oposisi 62 sedang dipecah belah...

🍉🍐🍎🍈🍒🍇 https://t.co/rKigzekzjx",2023-04-12 07:50:11+00:00
@heesglue kampret,2023-04-12 07:46:29+00:00
"@chanrise26 Gw tau kok emang kampret aja itu, aslinya gw liat juga dia bukan ikonic",2023-04-12 07:44:27+00:00
@jvlxiana JAHAT BGT KAMPRET 👊,2023-04-12 07:43:43+00:00
"@readyfordtf Inget J... Bos.

Kacung kampret macam kita mah bisa apa 🤣🤣🤣",2023-04-12 07:42:25+00:00
"masuk draft terus😂

kampret https://t.co/dmNHTroIAs",2023-04-12 07:38:04+00:00
@Devviil Diatasnya masi ada sate kampret,2023-04-12 07:37:04+00:00
"fak, emak gue kerumah bw selingkuhan, kampret",2023-04-12 07:36:06+00:00
Si kampret emang yg make ava si Juned. LU KALO MAU BELAIN SI Cinun2 itu ga usah pake ava Si Juned. Udah ga pernah ngehype iKON tb2 bikin tw pemancing war gini. Yang kena iKONIC juga. Gue yakin lu antek2nya si tukang drama itukan.  Kampret emng lu.,2023-04-12 07:34:19+00:00
