Tweets,Date
@joeelied kontol gembrot scammer anjg ntr kamar cm sepetak,2023-04-11 19:35:24+00:00
@shouw_chaa Kontol gajelas babig,2023-04-11 19:33:43+00:00
kontol,2023-04-11 19:33:21+00:00
kontol buang tegesan mah nng sego,2023-04-11 19:32:45+00:00
gajelas kontol,2023-04-11 19:31:07+00:00
kontol jadi bapuk gini maennya,2023-04-11 19:29:49+00:00
"@tanyakanrl ""gmn kalo berumah tangga khilaf berkali kali"" ya elah bang klo berkali kali mah bukan khilaf emang lu nye aje yang napsu kontol",2023-04-11 19:29:08+00:00
@onatmeal kontol,2023-04-11 19:28:28+00:00
Kontol,2023-04-11 19:28:20+00:00
Kontol,2023-04-11 19:26:18+00:00
Apasi bali fiber kontol @balifiberID,2023-04-11 19:26:08+00:00
@flolaurah @M0RN1NG__ALL Itu kontol atau apa kecil banget,2023-04-11 19:24:30+00:00
idup lagi galau galau nya malah nemu playlist ini kontol https://t.co/umP36uIr1m,2023-04-11 19:22:52+00:00
kontol lagi serius malah bercanda,2023-04-11 19:21:38+00:00
Cuma mau teriak kontol di depan orang orang,2023-04-11 19:21:33+00:00
@shouw_chaa @UrJester Lu udah kelewat batas kontol sampe bahas-bahas masa lalu orang di ruang publik,2023-04-11 19:21:04+00:00
@gandasatria @18fesss Orang waras ngutamain istri yg lagi hamil si dibanding bukber. Come on guys nyuruh be a good wife. Kelakuan lo tu betulin dulu biar ga cuma modal kontol doang. Asu,2023-04-11 19:20:32+00:00
@dhemit_is_back Cih.. Pake masker. Kontol!!!!,2023-04-11 19:20:03+00:00
"sempet dkt ama cowo yg mnurut w tdnya oke bgt. dia ngajak w serius, w sempet mau kepikiran ayoin krn kita berdua udh cape la basa basi, apalagi dgn percintaan kontol",2023-04-11 19:19:16+00:00
"anak pertama lanang + yatim = KONTOL!!! orak kabeh iso dicritake rabakal paham juga wong sng orak ngerasake ki, kadang kene yo butuh waktu nggo dewe.",2023-04-11 19:18:53+00:00
@tanyarlfes kontol lu anjing,2023-04-11 19:18:24+00:00
@araandira_ Kapok we pung @IrfanHarister entuk kontol,2023-04-11 19:17:04+00:00
"halah kontol, mau jadi paling tersakiti matamu totot. raimu gatel i cok",2023-04-11 19:16:50+00:00
Lu apatis kontol nyari peringkat 1,2023-04-11 19:15:46+00:00
hari hari dpt tim kontol mulu https://t.co/sM5W95znb6,2023-04-11 19:12:25+00:00
Pasti kontol mario dando gede dsn enak bgt deh ahhh,2023-04-11 19:11:42+00:00
@tanyarlfes Mau gue teriakin kontol dikupingnya.,2023-04-11 19:11:01+00:00
"3 thn gila 3 thn, makin mnjdi"" 1 thn ini diperlakuin kyk kontol. Sendirian ngentod, gua sendirian disini. PAHAM GA ANJING?? gua sendirian jalanin ini, gua berobat ke psikiater, luka"", berdarah, lebam, muntah"", koma, ITU KRN SIAPA? YA KRN KALIAN ANJING",2023-04-11 19:10:51+00:00
@tanyarlfes anjg lu kontol,2023-04-11 19:08:42+00:00
"R : Lu kenal Luis?
A : Luis siapa
R : Luisap kontol ku
A : Kontol lu",2023-04-11 19:08:24+00:00
@tanyakanrl no salty no salty kontol lo kontol semua kontol,2023-04-11 19:08:23+00:00
@kegblgnunfaedh Lebay kontol,2023-04-11 19:07:53+00:00
@fauziZambullzt Berisik fauzi kontol gw laporin polisi,2023-04-11 19:07:18+00:00
Dih ikut campur kontol,2023-04-11 19:07:07+00:00
@Miduk17 @Dw99935050Dwi Kebanyakan yg gak suka Anies kagak sunat plus Kontol layu alias tulang lunak😂😂🤪,2023-04-11 19:06:33+00:00
Ya lu aneh aja kontol. Pertama dari temen gua sendiri yaitu bang lod gaada usik usik lu tapi lu malah usik usik dia KAN GAJELAS KONTOL. Kedua YA ITU MASALAH LU KENAPA LU YANG RIBET ASTAGAH KONTOL. YANG KETIGA TEMEN GUA UDH DIKUBUR LU GAUSH REP LAGI BEGO GABAKEL DIBALES😭,2023-04-11 19:06:32+00:00
mls sekolah kontol,2023-04-11 19:05:32+00:00
@hashjenni 2 orang kontol yg membuat gue kaya gini,2023-04-11 19:04:41+00:00
@Wahyuning57 Kontol banyak iklan,2023-04-11 19:04:36+00:00
bener2 kapitalis kontol,2023-04-11 19:03:51+00:00
@vidio kontol gua bayar anjing malah iklan indosiar,2023-04-11 19:03:10+00:00
@partisangambia sok asik lu kontol 🖕🖕🖕,2023-04-11 19:02:18+00:00
kontol ter gede dapet hadiah,2023-04-11 19:01:49+00:00
"But when he was my age, sama ga kaya gua?. kalo kontol mah kontol aja, gosah playing victim.",2023-04-11 19:01:12+00:00
"@Mas_Renald Emang begituu, bikin males kontol",2023-04-11 19:00:58+00:00
Emg kontol matterazi,2023-04-11 19:00:06+00:00
@peacyjjwoni KONTOL CICAK https://t.co/wZ8RDoDoZt,2023-04-11 18:59:23+00:00
Cs yu pap kontol kalian,2023-04-11 18:59:15+00:00
"Chat sex yu
2 org tercepat foto kontol kalian yah",2023-04-11 18:58:27+00:00
mie ayam psb g buka malam y. knp bukanya pas puasa siang siang kontol kontol,2023-04-11 18:56:40+00:00
